Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Pentazona Barb,/species-spotlight/pentazona-barb/,DesmopuntiusPentazona,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.5,8.5,26.1,8.5,AS,-6.405512,1.6741196,-0.9292312
Peppered Corydoras,/species-spotlight/peppered-corydoras/,CorydorasPaleatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,10.0,21.95,6.0,SA,-12.697112,0.7273532,-0.21027167
Phoenix Rasbora,/species-spotlight/phoenix-rasbora/,BorarasMerah,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.5,7.5,23.5,2.0,AS,-8.141879,6.615271,0.32453012
Phoenix Tetra,/species-spotlight/phoenix-tetra/,Hemigrammusfilamentosus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,7.0,8.5,24.75,4.0,SA,9.703823,0.25292906,1.3064306
Picta Swamp Guppy,/species-spotlight/picta-swamp-guppy/,Micropoeciliapicta,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,8.0,15.0,26.95,3.0,SA,4.883153,4.6390877,0.50724876
Pictus Catfish,/species-spotlight/pictus-catfish/,Pimeloduspictus,Actinopterygii,Siluriformes,Pimelodidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.15,12.0,SA,4.316541,-9.14407,2.2978497
Pink Kissing Gourami,/species-spotlight/pink-kissing-gourami/,Helostomatemmincki,Actinopterygii,Anabantiformes,Helostomatidae,Semi-Aggressive,Middle - Top,Omnivore,7.0,12.5,25.0,30.0,AS,2.429333,-8.232373,1.3508327
Pink Lemon Tetra,/species-spotlight/pink-lemon-tetra/,Hyphessobryconitaparicensis,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.0,4.0,SA,8.643865,1.5018058,1.1767846
Pink Tail Chalceus,/species-spotlight/pink-tail-chalceus/,Chalceusmacrolepidotus,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle - Top,Carnivore,6.75,12.5,25.3,30.0,SA,0.9773741,-4.1556683,-0.4357694
Platies,/species-spotlight/platies/,"Xiphophorusandersi,Xiphophoruscouchianus,Xiphophorusevelynae,Xiphophorusgordoni,Xiphophoruskosszanderi,Xiphophorusmaculatus,Xiphophorusmeyeri,Xiphophorusmilleri,Xiphophorusroseni,Xiphophorusvariatus,Xiphophorusnephridium",Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,7.5,17.5,21.65,7.5,NAM,3.7917185,2.8080435,-0.15563308
Platinum Alligator Gar,/species-spotlight/platinum-alligator-gar/,Atractosteusspatula,Actinopterygii,Lepisosteiformes,Lepisosteidae,Aggressive,Middle - Top,Carnivore,7.0,4.0,23.35,10.0,NAM,5.2422504,-11.16639,1.2830498
Platinum Medaka Ricefish,/species-spotlight/platinum-medaka-ricefish/,OryziaslatipesvarPlatinum,Actinopterygii,Beloniformes,Adrianichthyidae,Peaceful,Middle - Top,Omnivore,7.5,12.0,22.5,4.0,AS,7.10363,-9.430445,-0.90233284
