Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent
Coffee Bean Tetra,/species-spotlight/coffee-bean-tetra/,Hyphessobrycontakasei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,17.5,25.85,4.0,SA
Colombian Redfin Tetra,/species-spotlight/colombian-redfin-tetra/,Hyphessobryconcolumbianus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.5,25.3,6.5,SA
Common Hatchetfish,/species-spotlight/common-hatchetfish/,Gasteropelecussternicla,Actinopterygii,Characiformes,Gasteropelecidae,Peaceful,Top,Omnivore,6.5,8.5,25.0,6.5,SA
Common Otocinclus,/species-spotlight/common-otocinclus/,Otocinclusvittatus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Herbivore,6.5,9.0,23.6,4.0,SA
Concolour Corydoras,/species-spotlight/concolour-corydoras/,Corydorasconcolor,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,10.0,25.0,6.0,SA
Congo Ctenopoma,/species-spotlight/congo-ctenopoma/,Ctenopomacongicum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.5,14.0,25.0,6.5,AF
Congo Tetra,/species-spotlight/congo-tetra/,Phenacogrammusinterruptus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.7,11.0,25.55,6.0,AF
Convict Cichlid,/species-spotlight/convict-cichlid/,Amatitlanianigrofasciata,Actinopterygii,Cichliformes,Cichlidae,Aggressive,All Levels,Omnivore,7.0,7.0,27.5,15.0,NAM
Copei Tetra,/species-spotlight/copei-tetra/,Moenkhausiacopei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,15.0,24.0,6.0,SA
Coral Red Pencilfish,/species-spotlight/coral-red-pencilfish/,Nannostomusmortenthaleri,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,26.0,3.5,SA
Costello Tetra,/species-spotlight/costello-tetra/,Hemigrammushyanuary,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,25.0,4.0,SA
Crystal Black Shrimp,/species-spotlight/crystal-black-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS
Crystal Red Shrimp,/species-spotlight/crystal-red-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS
Cuckoo Catfish,/species-spotlight/cuckoo-catfish/,Synodontismultipunctatus,Actinopterygii,Siluriformes,Mochokidae,Peaceful,Bottom - Middle,Omnivore,8.0,25.0,25.25,27.5,AF
Daisys Blue Ricefish,/species-spotlight/daisys-blue-ricefish/,Oryziaswoworae,Actinopterygii,Beloniformes,Adrianichthyidae,Peaceful,Middle - Top,Omnivore,6.75,14.0,24.0,3.0,AS
Darter Corydoras,/species-spotlight/darter-corydoras/,Corydorassp.CW153,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,13.5,23.5,3.5,SA
Dawn Tetra,/species-spotlight/dawn-tetra/,Aphyocharaxparaguayensis,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle,Omnivore,6.5,10.0,25.0,4.5,SA
Delphax Corydoras,/species-spotlight/delphax-corydoras/,CorydorasDelphax,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,7.0,24.2,6.0,SA
Denison Barb,/species-spotlight/denison-barb/,Sahyadriadenisonii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,15.0,22.5,15.0,AS
Desana Corydoras,/species-spotlight/desana-corydoras/,Corydorasdesana,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.45,6.5,SA
Diamond Tetra,/species-spotlight/diamond-tetra/,Moenkhausiapittieri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,25.85,6.0,SA
Discus,/species-spotlight/discus/,"Symphysodonaequifasciatus,Symphysodondiscus,Symphysodon",Actinopterygii,Cichliformes,Cichlidae,Peaceful,All Levels,Carnivore,6.0,12.5,28.05,25.0,SA
Domino Tetra,/species-spotlight/domino-tetra/,Neolebiaspowelli,Actinopterygii,Characiformes,Distichodontidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,23.9,2.5,AF
Drape Fin Barb,/species-spotlight/drape-fin-barb/,Oreichthyscrenuchoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,5.0,25.0,5.0,AS
Duplicate Corydoras,/species-spotlight/duplicate-corydoras/,Corydorasduplicareus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,5.5,8.5,23.0,5.0,SA
Dusky Millions Fish,/species-spotlight/dusky-millions-fish/,Phalloceroscaudimaculatus,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.0,12.5,20.0,6.0,SA
Dwarf Chain Loach,/species-spotlight/dwarf-chain-loach/,AmbastaiaSidthimunki,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.5,25.85,6.0,AS
Dwarf Ctenopoma,/species-spotlight/dwarf-ctenopoma/,Microctenopomananum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.75,10.0,20.85,7.0,AF
Dwarf Gourami,/species-spotlight/dwarf-gourami/,Trichogasterlalius,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,25.0,8.0,AS
Dwarf Neon Rainbowfish,/species-spotlight/dwarf-neon-rainbowfish/,Melanotaeniapraecox,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.0,10.0,24.15,6.0,OC
Dwarf Pencilfish,/species-spotlight/dwarf-pencilfish/,Nannostomusmarginatus,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.0,3.5,SA
Dwarf Pufferfish,/species-spotlight/dwarf-pufferfish/,CarinotetraodonTravancoricus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Aggressive,Middle,Omnivore,7.0,15.0,25.0,3.5,AS
Dwarf Rasbora,/species-spotlight/dwarf-rasbora/,Borarasmaculatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.25,3.0,24.5,2.5,AS
Dwarf Spotted Danio,/species-spotlight/dwarf-spotted-danio/,Danionigrofasciatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,25.85,4.0,AS
Eggers Killifish,/species-spotlight/eggers-killifish/,Nothobranchiuseggersi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,7.5,12.5,24.45,5.0,AF
Eight Banded False Barb,/species-spotlight/eight-banded-false-barb/,Eirmotusoctozona,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,25.0,3.5,AS
